min	max	weight
-7.0	-6.65	1.01556060431
-6.65	-6.3	1.04159287185
-6.3	-5.95	1.0591624917
-5.95	-5.6	1.00182047243
-5.6	-5.25	0.972312396025
-5.25	-4.9	0.963833414375
-4.9	-4.55	0.9587076186
-4.55	-4.2	0.951858970585
-4.2	-3.85	0.953868295252
-3.85	-3.5	0.963223248127
-3.5	-3.15	0.977670618462
-3.15	-2.8	0.99259890195
-2.8	-2.45	0.99932541945
-2.45	-2.1	1.01191502821
-2.1	-1.75	1.01548891572
-1.75	-1.4	1.02157837256
-1.4	-1.05	1.02031919006
-1.05	-0.7	1.02654549812
-0.7	-0.35	1.0287878189
-0.35	0.0	1.02985021758
0.0	0.35	1.02735992193
0.35	0.7	1.02712229751
0.7	1.05	1.017008938
1.05	1.4	1.03006485706
1.4	1.75	1.02081170958
1.75	2.1	1.01773598675
2.1	2.45	1.00935528321
2.45	2.8	1.00350057063
2.8	3.15	1.00177430611
3.15	3.5	0.988525656148
3.5	3.85	0.988019578379
3.85	4.2	0.981725530573
4.2	4.55	0.98121110165
4.55	4.9	0.985726720144
4.9	5.25	1.00232376787
5.25	5.6	1.02813579004
5.6	5.95	1.02697980192
5.95	6.3	1.07150082664
6.3	6.65	1.07547035411
6.65	7.0	1.08919745608
